Gone Girl,771360861,2267998,2014-10-03,87,88,Certified Fresh,R,2014,145,Mystery & Suspense,Drama,,	
Muppets Most Wanted,771321700,2281587,2014-03-21,59,78,Certified Fresh,PG,2014,107,Comedy, Kids & Family,,
When the Game Stands Tall,771355196,2247476,2014-08-22,73,17,Rotten,PG, 2014,115,Drama,,,
The Best of Me,770823179,,2004-12-31,0,-1,,Unrated,2004,,Musical & Performing Arts,,,
Paranormal Activity: The Marked Ones,771364044,2473682,2014-01-03,35,37,Rotten,R,2014,84,Horror,,,
Wild (2014),771366595,2305051,2014-12-03,76,90,Certified Fresh,R,2014,115,Drama,,,
The Monuments Men,771323155,2177771,2014-02-07,44,31,Rotten,PG-13,2014,118,Drama,Action & Adventure,,
Divergent,771378690,,2016-03-18,99,-1,,Unrated,2016,,Action & Adventure,Romance,Science Fiction & Fantasy,
A Walk Among the Tombstones,771367644,0365907,2014-09-19,54,65,Fresh,R,2014,114,Drama,Action & Adventure,,
Big Hero 6,771355766,2245084,2014-11-07,91,89,Certified Fresh,PG,2014,93,Animation,Kids & Family,,
Transformers: Age of Extinction,771269858,2109248,2014-06-27,52,18,Rotten,PG-13,2014,157,Action & Adventure,Science Fiction & Fantasy,,
Exodus: Gods and Kings,771356224,1528100,2014-12-12,36,27,Rotten,PG-13,2014,142,Drama,Classics,,
300: Rise of An Empire,771249085,1253867,2014-03-07,52,42,Rotten,R,2014,103,Drama,Action & Adventure,,
American Sniper,771357000,2179136,2015-01-16,85,72,Certified Fresh,R,2015,134,Drama,Action & Adventure,,
Planes: Fire & Rescue,771359012,,2014-07-18,57,44,Rotten,PG,2014,84,Animation,Kids & Family,,
Ouija,771373980,1204977,2014-10-24,25,7,Rotten,PG-13,2014,83,Action & Adventure,Horror,Mystery & Suspense,
The Hundred-Foot Journey,771359009,2980648,2014-08-08,81,68,Fresh,PG,2014,122,Drama,,,
No Good Deed (2014),771271279,2011159,2014-09-12,56,10,Rotten,PG-13,2014,84,Mystery & Suspense,,,
The Hobbit: The Battle of the Five Armies,771181360,2310332,2014-12-17,75,60,Fresh,R,2014,144, Action & Adventure,Science Fiction & Fantasy,,
Dolphin Tale 2,771359312,2978462,2014-09-12,73,67,Fresh,PG,2014,107,Drama,Kids & Family,,
This is Where I Leave You,771351531,1371150,2014-09-19,60,41,Rotten,R,2014,103,Comedy,,,
Noah,771415037,3411432,2015-07-17,40,20,Rotten,G,2015,85,Animation,Faith & Spirituality,,
About Last Night (2014),771323761,1826590,2014-02-14,65,69,Fresh,R,2014,100,Comedy, Romance,,
The Fault in our Stars,771365948,2582846,2014-06-06,85,80,Certified Fresh,PG-13,2014,125,Drama,Comedy,,
Horrible Bosses 2,771352288,2170439,2014-11-26,48,35,Rotten,R,2014,108,Comedy,,,
Jersey Boys,771361033,1742044,2014-06-20,62,52,Rotten,R,2014,134,Musical & Performing Arts,,,
Alexander and the Terrible,770909937,1698641,2014-10-10,59,62,Fresh,PG,2014,80,Kids & Family,,,
The Judge,771381304,2930144,,50,-1,,Unrated,2014,76,Art House & International,Mystery & Suspense,,
Ride Along,771376964,,2016-01-15,97,-1,,PG-13,2016,,Action & Adventure,Comedy,,
The Theory of Everything,770990024,,,100,-1,,Unrated,2006,86,Drama,,,
Annabelle,771373148,3322940,2014-10-03,37,29,Rotten,R,2014,98,Horror,,,
Think Like a Man Too,771358910,2238932,2014-06-20,60,23,Rotten,PG-13,2014,106,Comedy,Romance,,
The Amazing Spider-Man 2,771249926,1872181,2014-05-02,66,53,Rotten,PG-13,2014,142,Drama,Action & Adventure,Science Fiction & Fantasy,
Night at the Museum: Secret of the Tomb,771349839,2692250,2014-12-19,58,50,Rotten,PG,2014,90,Action & Adventure,Comedy,,
If I Stay,771021197,1355630,2014-08-22,62,36,Rotten,PG-13,2014,106,Drama,,,
Million Dollar Arm,771357481,1647668,2014-05-16,69,62,Fresh,PG,2014,124,Drama,Comedy,,
The Maze Runner,771390260,4046784,2015-09-18,64,49,Rotten,PG-13,2015,129,Action & Adventure,,,
John Wick,771386515,2911666,2014-10-24,79,85,Certified Fresh,R,2014,96,Action & Adventure,,,
The Nut Job,771373518,3486626,2016-01-15,78,-1,,Unrated,2016,86,Comedy,Animation,,
The Other Woman (2014),771355832,2203939,2014-04-25,57,23,Rotten,PG-13,2014,107,Comedy,,,
Into The Storm,771365264,2106361,2014-08-08,42,21,Rotten,PG-13,2014,89,Mystery & Suspense,,,
Jack Ryan: Shadow Recruit,771314857,1205537,2014-01-17,53,56,Rotten,PG-13,2014,105,Drama,Action & Adventure,Mystery & Suspense,
22 Jump Street,771355226,2294449,2014-06-13,77,85,Certified Fresh,R,2014,110,Action & Adventure,Comedy,,
Birdman,771372602,2562232,2014-10-17,78,92,Certified Fresh,R,2014,119,Comedy,,,
The Giver,771365263,0435651,2014-08-15,57,36,Rotten,PG-13,2014,140,Drama,Science Fiction & Fantasy,,
Penguins of Madagascar,771315645,1911658,2014-11-26,63,72,Fresh,PG,2014,92,Animation,,,
Draft Day,771356814,2223990,2014-04-11,65,60,Fresh,PG-13,2014,109,Drama,,,
Edge of Tomorrow,771317257,1631867,2014-06-06,90,90,Certified Fresh, PG-13,2014,113,Drama,Science Fiction & Fantasy,,
Let's Be Cops,771372963,1924435,2014-08-13,52,18,Rotten,R,2014,109,Action & Adventure,Comedy,,
Get On Up,771377991,2473602,2014-08-01,69,80,Certified Fresh,PG-13,2014,138,Drama,,,
The Book of Life (2014),771323152,2262227,2014-10-17,78,82,Certified Fresh,PG,2014,95,Animation,Romance,,
Annie (2014),771229367,1823664,2014-12-19,60,27,Rotten,PG,2014,118,Drama,Kids & Family,Musical & Performing Arts,
Hercules (2014),771324950,1267297,2014-07-25,49,60,Fresh,PG-13,2014,99,Action & Adventure,Science Fiction & Fantasy,,
Selma,771383243,1020072,2015-01-09,86,99,Certified Fresh,PG-13,2015,127,Drama,,,
Sex Tape,771355227,1956620,2014-07-18,33,17,Rotten,R,2014,94,Comedy,,,
Tammy,771355411,2103254,2014-07-02,37,23,Rotten,R,2014,96,Comedy,,,
X-Men: Days of Future Past,771308692,1877832,2014-05-23,92,91,Certified Fresh,PG-13,2014,131,Action & Adventure,Science Fiction & Fantasy,,
Oculus,771362204,2388715,2014-04-11,52,73,Fresh,R,2014,104,Drama,Horror,,
Teenage Mutant Ninja Turtles (2014),771191433,1291150,2014-08-08,52,21,Rotten,PG-13,2014,101,Action & Adventure,Science Fiction & Fantasy,,
The Gambler,770817765,0832348,,69,-1,,Unrated,2006,78,Documentary,Drama,Television,
Into the Woods,771356920,2180411,2014-12-24,50,71,Fresh,PG,2014,125,Musical & Performing Arts, Kids & Family,,
Rio 2,771305205,2357291,2014-04-11,59,48,Rotten,G,2014,102,Animation,Kids & Family,Comedy,
Deliver Us From Evil,771371567,2377322,2014-07-02,42,28,Rotten,R,2014,118,Action & Adventure,Horror,,
Dumb and Dumber To,771359313,2096672,2014-11-14,37,29,Rotten,PG-13,2014,109,Comedy,,,
The Boxtrolls,771350092,0787474,2014-09-26,64,75,Certified Fresh,PG,2014,97,Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy
RoboCop (2014),770803774,1234721,2014-02-12,50,49,Rotten,PG-13,2014,117,Action & Adventure,Science Fiction & Fantasy,,
The Equalizer,771313085,0455944,2014-09-26,77,61,Fresh,R,2014,131,Mystery & Suspense,,,
Interstellar,771351912,0816692,2014-11-07,85,71,Certified Fresh,PG-13,2014,169,Action & Adventure,Science Fiction & Fantasy,,
Non-Stop,771304322,2024469,2014-02-28,64,60,Fresh,PG-13,2014,107,Mystery & Suspense,Action & Adventure,,
How to Train Your Dragon 2,771040382,1646971,2014-06-13,90,91,Certified Fresh,PG,2014,105,Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy
The Imitation Game,771372271,2084970,2014-11-28,92,90,Certified Fresh,PG-13,2014,114,Mystery & Suspense,Drama,,
St. Vincent,771312977,2170593,2014-10-24,79,77,Certified Fresh,PG-13,2014,102,Comedy,,,
Fury (2014),771028170,1392190,2015-05-15,87,97,Certified Fresh,R,2015,120,Action & Adventure,Horror,,
Unbroken,771360552,1809398,2014-12-25,70,51,Rotten,PG-13,2014,137,Drama,,,
Dawn of the Planet of the Apes,771308675,2103281,2014-07-11,88,90,Certified Fresh,PG-13,2014,103,Drama,Action & Adventure,Science Fiction & Fantasy,
Mr. Peabody & Sherman,771169232,0864835,2014-03-07,73,79,Certified Fresh,PG,2014,92,Action & Adventure, Animation, Kids & Family,Comedy
Need for Speed,771311994,2369135,2014-03-14,57,22,Rotten,PG-13,2014,130,Action & Adventure,,,
3 Days to Kill,771357121,2172934,2014-02-21,44,28,Rotten,PG-13,2014,100,Mystery & Suspense,,,
The Grand Budapest Hotel,771312437,2278388,2014-03-07,86,92,Certified Fresh,R,2014,99,Drama,Comedy,,
The LEGO Movie,771378193,3214286,2015-07-31,63,53,Rotten,G,2015,95,Documentary,Special Interest,,
Earth to Echo,771356653,2183034,2014-07-02,47,48,Rotten,PG,2014,89,Action & Adventure,,,
God's Not Dead,771416222,,2016-04-01,92,-1,,Unrated,2016,,Drama,,,
The Expendables 3,771320888,2333784,2014-08-15,48,33,Rotten,PG-13,2014,126,Action & Adventure,,,
The Hunger Games: Mockingjay - Part 1,771312088,1951265,2014-11-21,73,65,Fresh,PG-13,2014,125,Drama,Action & Adventure,Science Fiction & Fantasy,
Dracula Untold,771355228,0829150,2014-10-10,58,22,Rotten,PG-13,2014,92,Drama,Action & Adventure,Science Fiction & Fantasy,
Lucy,771360863,2872732,2014-07-25,47,66,Fresh,R,2014,89,Action & Adventure,,,
Heaven is for Real,771355185,1929263,2014-04-16,67,46,Rotten,PG,2014,99,Drama,,,
A Million Ways to Die in the West,771350283,2557490,2014-05-30,40,33,Rotten,R,2014,116,Western,Comedy,,
Nightcrawler,771380953,2872718,2014-10-31,85,95,Certified Fresh,R,2014,117,Mystery & Suspense,Drama,,
Neighbors,771308254,2004420,2014-05-09,63,73,Certified Fresh,R,2014,97,Comedy,,,
Son of God,771366740,3210686,2014-02-28,73,21,Rotten,PG-13,2014,138,Drama,,,
Blended,771377343,1086772,2014-05-23,64,14,Rotten,PG-13,2014,91,Comedy,,,
Guardians of the Galaxy,771311818,2015381,2014-08-01,92,91,Certified Fresh,PG-13,2014,121,Action & Adventure, Science Fiction & Fantasy,,
Boyhood,771373348,1065073,2014-07-11,81,98,Certified Fresh,R,2014,165,Drama,,,
Chef,771357104,2883512,2014-05-09,85,86,Certified Fresh,R,2014,115,Comedy,,,
Godzilla (2014),771225175,0831387,2014-05-16,67,74,Certified Fresh,PG-13,2014,138,Mystery & Suspense,Science Fiction & Fantasy,,
Captain America: The Winter Soldier,771312513,1843866,2014-04-04,92,89,Certified Fresh,PG-13,2014,136,Action & Adventure,Science Fiction & Fantasy,,
Maleficent,771304593,1587310,2014-05-30,71,49,Rotten,PG,2014,97,Science Fiction & Fantasy,,,
The Purge: Anarchy,771358674,2975578,2014-07-18,57,56,Rotten,R,2014,104,Horror,,,
That Awkward Moment,771359339,1800246,2014-01-31,47,23,Rotten,R,2014,94,Comedy,Romance,,
